Pulse number	LTP (S)	LTD(S)
1	-3.35E-11	
2	-6.26E-11	
3	-9.54E-11	
4	-1.25E-10	
5	-1.49E-10	
6	-1.70E-10	
7	-1.91E-10	
8	-2.09E-10	
9	-2.22E-10	
10	-2.35E-10	
11	-2.46E-10	
12	-2.58E-10	
13	-2.68E-10	
14	-2.83E-10	
15	-2.96E-10	
16	-3.07E-10	
17	-3.17E-10	
18	-3.31E-10	
19	-3.40E-10	
20	-3.50E-10	
21	-3.64E-10	
22	-3.78E-10	
23	-3.89E-10	
24	-4.03E-10	
25	-4.17E-10	
26	-4.31E-10	
27	-4.39E-10	
28	-4.48E-10	
29	-4.59E-10	
30		-4.41E-10
31		-4.18E-10
32		-3.65E-10
33		-3.16E-10
34		-2.71E-10
35		-2.46E-10
36		-2.11E-10
37		-1.84E-10
38		-1.67E-10
39		-1.49E-10
40		-1.33E-10
41		-1.13E-10
42		-9.29E-11
43		-8.74E-11
44		-7.33E-11
45		-7.28E-11
46		-6.78E-11
47		-5.99E-11
48		-5.31E-11
49		-5.40E-11
50		-4.85E-11
51		-4.40E-11
52		-4.11E-11
53		-3.92E-11
54		-3.59E-11
55		-3.18E-11
56		-2.91E-11
57		-2.90E-11
58		-2.71E-11
